Date,Région,Profil_consommateur,Nb points soutirage,Total énergie soutirée (Wh),Jour max du mois (0/1),Semaine max du mois (0/1),Moyenne_consommation,Mois,Jour,Année
2020-01-05,Centre-Val de Loire,PRO5,25139.0,692601131.0,0.0,0.0,27550.86244480688,1,5,2020
2020-01-05,Hauts-de-France,PRO1 (+ PRO1WE),190827.0,4096457599.0,0.0,0.0,21466.86579467266,1,5,2020
2020-01-05,Hauts-de-France,PRO2 (+ PRO2WE + PRO6),69851.0,3515308600.0,0.0,0.0,50325.81638058152,1,5,2020
2020-01-05,Hauts-de-France,PRO3,3936.0,295601485.0,0.0,0.0,75102.00330284552,1,5,2020
2020-01-05,Hauts-de-France,PRO4,4069.0,178710932.0,0.0,0.0,43920.111083804375,1,5,2020
2020-01-05,Hauts-de-France,PRO5,40406.0,1742085295.0,0.0,0.0,43114.51999703015,1,5,2020
2020-01-06,Centre-Val de Loire,PRO1 (+ PRO1WE),100843.0,2572347409.0,0.0,0.0,25508.437958013943,1,6,2020
2020-01-06,Centre-Val de Loire,PRO2 (+ PRO2WE + PRO6),36681.0,2121880624.0,0.0,0.0,57846.85870068973,1,6,2020
2020-01-06,Centre-Val de Loire,PRO3,2961.0,202919681.0,0.0,0.0,68530.7939885174,1,6,2020
2020-01-06,Centre-Val de Loire,PRO4,3580.0,139672655.0,0.0,0.0,39014.70810055866,1,6,2020
2020-01-06,Centre-Val de Loire,PRO5,25139.0,677586780.0,0.0,0.0,26953.6091332193,1,6,2020
2020-01-06,Hauts-de-France,PRO1 (+ PRO1WE),190846.0,5524147997.0,0.0,0.0,28945.579142345137,1,6,2020
2020-01-06,Hauts-de-France,PRO2 (+ PRO2WE + PRO6),69850.0,4160511570.0,0.0,0.0,59563.51567644953,1,6,2020
2020-01-06,Hauts-de-France,PRO3,3934.0,297920887.0,0.0,0.0,75729.76283680732,1,6,2020
2020-01-06,Hauts-de-France,PRO4,4068.0,203503020.0,0.0,0.0,50025.32448377581,1,6,2020
2020-01-06,Hauts-de-France,PRO5,40406.0,1703225199.0,0.0,0.0,42152.779265455625,1,6,2020
2020-01-07,Centre-Val de Loire,PRO1 (+ PRO1WE),100813.0,2582132807.0,0.0,0.0,25613.09361887852,1,7,2020
2020-01-07,Centre-Val de Loire,PRO2 (+ PRO2WE + PRO6),36677.0,2134528254.0,0.0,0.0,58198.005671129045,1,7,2020
2020-01-07,Centre-Val de Loire,PRO3,2960.0,184917789.0,0.0,0.0,62472.22601351352,1,7,2020
2020-01-07,Centre-Val de Loire,PRO4,3579.0,138839004.0,0.0,0.0,38792.68063704945,1,7,2020
2020-01-07,Centre-Val de Loire,PRO5,25139.0,677037717.0,0.0,0.0,26931.76804964398,1,7,2020
2020-01-07,Hauts-de-France,PRO1 (+ PRO1WE),190779.0,5545186363.0,0.0,0.0,29066.02069934322,1,7,2020
2020-01-07,Hauts-de-France,PRO2 (+ PRO2WE + PRO6),69857.0,4186783507.0,0.0,0.0,59933.6287988319,1,7,2020
2020-01-07,Hauts-de-France,PRO3,3932.0,270894001.0,0.0,0.0,68894.71032553408,1,7,2020
2020-01-07,Hauts-de-France,PRO4,4066.0,202403105.0,0.0,0.0,49779.41588785047,1,7,2020
2020-01-07,Hauts-de-France,PRO5,40404.0,1701325002.0,0.0,0.0,42107.83590733591,1,7,2020
2020-01-08,Centre-Val de Loire,PRO1 (+ PRO1WE),100793.0,2393765787.0,0.0,0.0,23749.32571706369,1,8,2020
2020-01-08,Centre-Val de Loire,PRO2 (+ PRO2WE + PRO6),36677.0,1992719494.0,0.0,0.0,54331.58366278594,1,8,2020
2020-01-08,Centre-Val de Loire,PRO3,2958.0,170800017.0,0.0,0.0,57741.72312373225,1,8,2020
2020-01-08,Centre-Val de Loire,PRO4,3579.0,126463740.0,0.0,0.0,35334.93713327745,1,8,2020
2020-01-08,Centre-Val de Loire,PRO5,25139.0,676678636.0,0.0,0.0,26917.48422769402,1,8,2020
2020-01-08,Hauts-de-France,PRO1 (+ PRO1WE),190773.0,5136941212.0,0.0,0.0,26926.9823926866,1,8,2020
2020-01-08,Hauts-de-France,PRO2 (+ PRO2WE + PRO6),69853.0,3907013261.0,0.0,0.0,55931.93221479392,1,8,2020
2020-01-08,Hauts-de-France,PRO3,3929.0,271318512.0,0.0,0.0,69055.36065156528,1,8,2020
2020-01-08,Hauts-de-France,PRO4,4065.0,184120556.0,0.0,0.0,45294.10971709717,1,8,2020
2020-01-08,Hauts-de-France,PRO5,40404.0,1699251833.0,0.0,0.0,42056.52492327493,1,8,2020
2020-01-09,Centre-Val de Loire,PRO1 (+ PRO1WE),100795.0,2384105351.0,0.0,0.0,23653.01206409048,1,9,2020
2020-01-09,Centre-Val de Loire,PRO2 (+ PRO2WE + PRO6),36681.0,1976543196.0,0.0,0.0,53884.65952400425,1,9,2020
2020-01-09,Centre-Val de Loire,PRO3,2958.0,187644497.0,0.0,0.0,63436.273495605135,1,9,2020
2020-01-09,Centre-Val de Loire,PRO4,3579.0,121602445.0,0.0,0.0,33976.654093322155,1,9,2020
2020-01-09,Centre-Val de Loire,PRO5,25139.0,676003281.0,0.0,0.0,26890.619396157366,1,9,2020
2020-01-09,Hauts-de-France,PRO1 (+ PRO1WE),190769.0,5113093346.0,0.0,0.0,26802.53786516677,1,9,2020
2020-01-09,Hauts-de-France,PRO2 (+ PRO2WE + PRO6),69842.0,3874380542.0,0.0,0.0,55473.50508290141,1,9,2020
2020-01-09,Hauts-de-France,PRO3,3928.0,298858279.0,0.0,0.0,76084.08324847251,1,9,2020
2020-01-09,Hauts-de-France,PRO4,4063.0,177321112.0,0.0,0.0,43642.90228894905,1,9,2020
2020-01-09,Hauts-de-France,PRO5,40404.0,1697869275.0,0.0,0.0,42022.30657855658,1,9,2020
2020-01-10,Centre-Val de Loire,PRO1 (+ PRO1WE),100791.0,2434299197.0,0.0,0.0,24151.95004514292,1,10,2020
2020-01-10,Centre-Val de Loire,PRO2 (+ PRO2WE + PRO6),36682.0,2034471469.0,0.0,0.0,55462.39215419006,1,10,2020
2020-01-10,Centre-Val de Loire,PRO3,2958.0,175425369.0,0.0,0.0,59305.398580121706,1,10,2020
2020-01-10,Centre-Val de Loire,PRO4,3576.0,124870372.0,0.0,0.0,34919.00782997763,1,10,2020
2020-01-10,Centre-Val de Loire,PRO5,25139.0,675851614.0,0.0,0.0,26884.586260392218,1,10,2020
2020-01-10,Hauts-de-France,PRO1 (+ PRO1WE),190762.0,5219031840.0,0.0,0.0,27358.86518279322,1,10,2020
2020-01-10,Hauts-de-France,PRO2 (+ PRO2WE + PRO6),69839.0,3984906502.0,0.0,0.0,57058.4702243732,1,10,2020
2020-01-10,Hauts-de-France,PRO3,3926.0,279484892.0,0.0,0.0,71188.20478858889,1,10,2020
2020-01-10,Hauts-de-France,PRO4,4062.0,182380116.0,0.0,0.0,44899.09305760709,1,10,2020
2020-01-10,Hauts-de-France,PRO5,40404.0,1697055929.0,0.0,0.0,42002.176244926246,1,10,2020
2020-01-11,Centre-Val de Loire,PRO1 (+ PRO1WE),100778.0,2172053788.0,0.0,0.0,21552.85665522237,1,11,2020
2020-01-11,Centre-Val de Loire,PRO2 (+ PRO2WE + PRO6),36678.0,1921478601.0,0.0,0.0,52387.76926222804,1,11,2020
2020-01-11,Centre-Val de Loire,PRO3,2958.0,194464445.0,0.0,0.0,65741.86781609195,1,11,2020
2020-01-11,Centre-Val de Loire,PRO4,3576.0,126199150.0,0.0,0.0,35290.59004474273,1,11,2020
2020-01-11,Centre-Val de Loire,PRO5,25139.0,675616901.0,0.0,0.0,26875.24965193524,1,11,2020
2020-01-11,Hauts-de-France,PRO1 (+ PRO1WE),190760.0,4656945813.0,0.0,0.0,24412.59075802055,1,11,2020
2020-01-11,Hauts-de-France,PRO2 (+ PRO2WE + PRO6),69834.0,3761609162.0,0.0,0.0,53865.01076839362,1,11,2020
2020-01-11,Hauts-de-France,PRO3,3925.0,308911415.0,0.0,0.0,78703.54522292994,1,11,2020
2020-01-11,Hauts-de-France,PRO4,4062.0,184106269.0,0.0,0.0,45324.04455933038,1,11,2020
2020-01-11,Hauts-de-France,PRO5,40404.0,1696405588.0,0.0,0.0,41986.08028908029,1,11,2020
2020-01-12,Centre-Val de Loire,PRO1 (+ PRO1WE),100772.0,1943767361.0,0.0,0.0,19288.76434922399,1,12,2020
2020-01-12,Centre-Val de Loire,PRO2 (+ PRO2WE + PRO6),36676.0,1789453596.0,0.0,0.0,48790.86039917112,1,12,2020
2020-01-12,Centre-Val de Loire,PRO3,2958.0,187272093.0,0.0,0.0,63310.37626774848,1,12,2020
2020-01-12,Centre-Val de Loire,PRO4,3576.0,116742369.0,0.0,0.0,32646.07634228188,1,12,2020
2020-01-12,Centre-Val de Loire,PRO5,25139.0,675054274.0,0.0,0.0,26852.869008313777,1,12,2020
2020-01-12,Hauts-de-France,PRO1 (+ PRO1WE),190750.0,4166214670.0,0.0,0.0,21841.23024901704,1,12,2020
2020-01-12,Hauts-de-France,PRO2 (+ PRO2WE + PRO6),69833.0,3500356702.0,0.0,0.0,50124.67890538857,1,12,2020
2020-01-12,Hauts-de-France,PRO3,3925.0,290826171.0,0.0,0.0,74095.83974522293,1,12,2020
2020-01-12,Hauts-de-France,PRO4,4062.0,170064072.0,0.0,0.0,41867.078286558346,1,12,2020
2020-01-12,Hauts-de-France,PRO5,40404.0,1695591658.0,0.0,0.0,41965.9355014355,1,12,2020
2020-01-13,Centre-Val de Loire,PRO1 (+ PRO1WE),100771.0,2464225103.0,0.0,0.0,24453.712903513908,1,13,2020
2020-01-13,Centre-Val de Loire,PRO2 (+ PRO2WE + PRO6),36677.0,2007236952.0,0.0,0.0,54727.40278648744,1,13,2020
2020-01-13,Centre-Val de Loire,PRO3,2954.0,178210659.0,0.0,0.0,60328.5914014895,1,13,2020
2020-01-13,Centre-Val de Loire,PRO4,3576.0,126708377.0,0.0,0.0,35432.9913310962,1,13,2020
2020-01-13,Centre-Val de Loire,PRO5,25139.0,647967948.0,0.0,0.0,25775.40665897609,1,13,2020
2020-01-13,Hauts-de-France,PRO1 (+ PRO1WE),190723.0,5281159634.0,0.0,0.0,27690.208490847985,1,13,2020
2020-01-13,Hauts-de-France,PRO2 (+ PRO2WE + PRO6),69834.0,3928956562.0,0.0,0.0,56261.37070767821,1,13,2020
2020-01-13,Hauts-de-France,PRO3,3923.0,283188884.0,0.0,0.0,72186.81723171043,1,13,2020
2020-01-13,Hauts-de-France,PRO4,4061.0,184699539.0,0.0,0.0,45481.29500123122,1,13,2020
