Date,Région,Profil_consommateur,Nb points soutirage,Total énergie soutirée (Wh),Jour max du mois (0/1),Semaine max du mois (0/1),Moyenne_consommation,Mois,Jour,Année
2020-01-04,Hauts-de-France,RES2 (+ RES5),1190938.875,32627183934.0,0.0,0.0,27396.18683956387,1,4,2020
2020-01-04,Hauts-de-France,RES2WE,17727.0,519303867.0,0.0,0.0,29294.514977153496,1,4,2020
2020-01-04,Hauts-de-France,RES3,16516.0,520484669.0,0.0,0.0,31513.966396221844,1,4,2020
2020-01-04,Hauts-de-France,RES4,30693.0,841689096.0,0.0,0.0,27422.83569543544,1,4,2020
2020-01-05,Centre-Val de Loire,RES1 (+ RES1WE),470464.0,3756331824.0,0.0,0.0,7984.312984627942,1,5,2020
2020-01-05,Centre-Val de Loire,RES11 (+ RES11WE),122290.0,2780021636.0,0.0,0.0,22733.02507155123,1,5,2020
2020-01-05,Centre-Val de Loire,RES2 (+ RES5),607622.0,19964660329.0,0.0,0.0,32857.03995082469,1,5,2020
2020-01-05,Centre-Val de Loire,RES2WE,7942.0,276875876.0,0.0,0.0,34862.23570888945,1,5,2020
2020-01-05,Centre-Val de Loire,RES3,10179.0,398170346.0,0.0,0.0,39116.84310836035,1,5,2020
2020-01-05,Centre-Val de Loire,RES4,23313.0,590368289.0,0.0,0.0,25323.565778750053,1,5,2020
2020-01-05,Hauts-de-France,RES1 (+ RES1WE),1206647.9583333333,10440326117.0,0.0,0.0,8652.338111457599,1,5,2020
2020-01-05,Hauts-de-France,RES11 (+ RES11WE),150669.0,3397216104.0,0.0,0.0,22547.545307926648,1,5,2020
2020-01-05,Hauts-de-France,RES2 (+ RES5),1190898.9583333333,34058629982.0,0.0,0.0,28599.092932002524,1,5,2020
2020-01-05,Hauts-de-France,RES2WE,17728.0,513498168.0,0.0,0.0,28965.375,1,5,2020
2020-01-05,Hauts-de-France,RES3,16516.0,662202706.0,0.0,0.0,40094.61770404456,1,5,2020
2020-01-05,Hauts-de-France,RES4,30693.0,868283235.0,0.0,0.0,28289.291858078388,1,5,2020
2020-01-06,Centre-Val de Loire,RES1 (+ RES1WE),470524.0,3482795959.0,0.0,0.0,7401.951779292874,1,6,2020
2020-01-06,Centre-Val de Loire,RES11 (+ RES11WE),122313.0,2752988299.0,0.0,0.0,22507.73261223255,1,6,2020
2020-01-06,Centre-Val de Loire,RES2 (+ RES5),607653.0,20655237385.0,0.0,0.0,33991.82985190561,1,6,2020
2020-01-06,Centre-Val de Loire,RES2WE,7948.0,256073627.0,0.0,0.0,32218.62443381983,1,6,2020
2020-01-06,Centre-Val de Loire,RES3,10177.0,273382012.0,0.0,0.0,26862.73086371229,1,6,2020
2020-01-06,Centre-Val de Loire,RES4,23311.0,618194459.0,0.0,0.0,26519.431126935782,1,6,2020
2020-01-06,Hauts-de-France,RES1 (+ RES1WE),1206804.0,9678060245.0,0.0,0.0,8019.579190158468,1,6,2020
2020-01-06,Hauts-de-France,RES11 (+ RES11WE),150715.0,3360707811.0,0.0,0.0,22298.429559101616,1,6,2020
2020-01-06,Hauts-de-France,RES2 (+ RES5),1190979.9166666667,35199169339.0,0.0,0.0,29554.79672362233,1,6,2020
2020-01-06,Hauts-de-France,RES2WE,17771.0,467195254.0,0.0,0.0,26289.75600697766,1,6,2020
2020-01-06,Hauts-de-France,RES3,16514.0,433231206.0,0.0,0.0,26234.17742521497,1,6,2020
2020-01-06,Hauts-de-France,RES4,30690.0,909259594.0,0.0,0.0,29627.22691430433,1,6,2020
2020-01-07,Centre-Val de Loire,RES1 (+ RES1WE),470529.0,3362558749.0,0.0,0.0,7146.336886780624,1,7,2020
2020-01-07,Centre-Val de Loire,RES11 (+ RES11WE),122334.0,2571341194.0,0.0,0.0,21019.023280527083,1,7,2020
2020-01-07,Centre-Val de Loire,RES2 (+ RES5),607611.0,18826545739.0,0.0,0.0,30984.53737506398,1,7,2020
2020-01-07,Centre-Val de Loire,RES2WE,7957.0,248226478.0,0.0,0.0,31195.98818650245,1,7,2020
2020-01-07,Centre-Val de Loire,RES3,10175.0,224316635.0,0.0,0.0,22045.860933660933,1,7,2020
2020-01-07,Centre-Val de Loire,RES4,23307.0,570774211.0,0.0,0.0,24489.38992577337,1,7,2020
2020-01-07,Hauts-de-France,RES1 (+ RES1WE),1206863.0,9341065124.0,0.0,0.0,7739.954844916117,1,7,2020
2020-01-07,Hauts-de-France,RES11 (+ RES11WE),150761.0,3138416564.0,0.0,0.0,20817.16467786762,1,7,2020
2020-01-07,Hauts-de-France,RES2 (+ RES5),1190992.9166666667,32073526850.0,0.0,0.0,26930.073555573203,1,7,2020
2020-01-07,Hauts-de-France,RES2WE,17794.0,452926597.0,0.0,0.0,25453.89440260762,1,7,2020
2020-01-07,Hauts-de-France,RES3,16510.0,351338592.0,0.0,0.0,21280.35081768625,1,7,2020
2020-01-07,Hauts-de-France,RES4,30683.0,839369195.0,0.0,0.0,27356.164488478964,1,7,2020
2020-01-08,Centre-Val de Loire,RES1 (+ RES1WE),470544.0,3337936662.0,0.0,0.0,7093.782222278895,1,8,2020
2020-01-08,Centre-Val de Loire,RES11 (+ RES11WE),122380.0,2421439857.0,0.0,0.0,19786.238413139403,1,8,2020
2020-01-08,Centre-Val de Loire,RES2 (+ RES5),607649.0,16999029647.0,0.0,0.0,27975.08042801025,1,8,2020
2020-01-08,Centre-Val de Loire,RES2WE,7963.0,234090688.0,0.0,0.0,29397.298505588347,1,8,2020
2020-01-08,Centre-Val de Loire,RES3,10173.0,261802833.0,0.0,0.0,25735.066647006784,1,8,2020
2020-01-08,Centre-Val de Loire,RES4,23297.0,507022149.0,0.0,0.0,21763.40940893677,1,8,2020
